id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
0,4.0,3.1942698e-05,2.1869912e-05,1.2030225e-05,5.9739912e-05,0.9308849,0.068006694,3.0300387e-07,4.341906e-06,4.49474e-06,9.465843e-05,0.00087905827
1,6.0,5.5709836e-05,3.2842917e-07,2.4246106e-07,0.0010304728,6.491488e-06,2.767333e-06,0.9987134,5.0868985e-05,1.2894361e-05,1.8763118e-05,0.000108085864
2,1.0,0.00013149847,0.5608804,0.43840283,0.00027840654,6.1064843e-06,0.00018779408,6.0326744e-07,9.958666e-06,7.000772e-06,4.4178443e-05,5.1139352e-05
3,7.0,1.2289606e-06,1.1692133e-07,4.242306e-08,3.0811374e-05,3.0956855e-06,2.972263e-08,1.2947754e-07,0.9998349,0.0001272214,1.2248263e-07,2.2371041e-06
4,10.0,1.9251505e-05,7.7369225e-07,6.88926e-07,1.8243656e-05,0.00034859776,2.0534703e-06,3.209235e-05,1.7519177e-06,2.5718293e-06,3.8942482e-05,0.9995351
5,9.0,5.5712302e-05,1.3653278e-05,6.1494975e-06,0.0002613761,4.6936075e-05,9.269789e-05,0.006620279,5.7710595e-06,1.5625423e-06,0.9928706,2.5311494e-05
6,6.0,7.706795e-05,9.466031e-07,8.169098e-07,0.0013531051,3.406543e-05,2.0878722e-05,0.9964294,5.5041695e-05,0.00016355119,1.359161e-06,0.0018638372
7,8.0,0.00013818075,3.464061e-06,1.7621027e-06,2.135625e-05,7.152327e-05,4.8668153e-06,9.021578e-05,0.0055486276,0.99405885,4.8306642e-06,5.622289e-05
8,0.0,0.9770876,0.00065546617,0.00037125676,4.3114844e-05,0.005741329,0.0036845598,0.0036883953,0.005046523,0.00025938696,0.0025177295,0.0009046938
9,5.0,6.221839e-05,1.0754387e-05,3.7629525e-06,8.594821e-07,0.051080637,0.9482405,2.5425525e-06,6.528161e-06,2.8744369e-06,4.750705e-05,0.00054181716
10,5.0,3.6148267e-06,4.9835867e-06,1.5759166e-06,6.0987117e-07,0.028460218,0.9686478,3.930344e-06,6.9307436e-07,4.48729e-07,0.0023257656,0.0005504168
11,4.0,8.524697e-06,6.391898e-06,4.2600745e-06,7.5348976e-07,0.85046697,0.044795964,7.1396283e-07,2.013674e-06,1.2009024e-06,0.022932144,0.081781
12,6.0,0.00010120572,5.2494664e-07,3.070877e-07,0.0003025282,5.616374e-06,1.4482712e-05,0.9990262,6.6013613e-06,3.0496378e-06,0.0005354155,4.0612867e-06
13,7.0,1.7295373e-05,3.2544308e-06,1.4088762e-06,0.00075851526,2.4594156e-05,6.556852e-07,9.186966e-06,0.99680376,0.0023204158,2.974711e-06,5.792503e-05
14,3.0,3.5883178e-07,5.003603e-07,3.966761e-07,0.9999418,1.222609e-07,4.8552085e-08,2.6231085e-06,8.599316e-06,4.3668973e-05,3.5467323e-07,1.4094876e-06
15,0.0,0.9986117,2.4880153e-05,2.230406e-05,3.3720724e-08,0.00076253485,0.0005641446,6.2119307e-07,2.1747082e-06,1.0060224e-06,2.226344e-06,8.560411e-06
16,6.0,3.5415633e-06,4.7020443e-08,3.193436e-08,2.624819e-05,1.1576391e-07,1.2144154e-07,0.9999496,5.5912994e-07,3.0641914e-07,1.6798826e-05,2.671933e-06
17,9.0,0.00019386606,1.04090805e-05,5.4136076e-06,6.107091e-06,0.010081315,0.00040858446,0.00031205273,3.7378886e-06,1.4186438e-06,0.95738024,0.031596936
18,6.0,8.917203e-07,3.5802112e-09,2.2879767e-09,3.9675084e-05,1.0206857e-08,9.032432e-09,0.99995565,1.2027031e-06,2.2263591e-06,3.2375314e-07,4.8012282e-08
19,0.0,0.9814741,0.00025281342,0.00019929101,2.0396288e-05,0.0042655733,0.011998532,0.0002939065,0.00079837797,0.00013917162,0.00020957529,0.00034831965
20,6.0,0.00021808436,1.2899401e-06,6.555521e-07,0.00012003687,4.4187025e-05,3.471529e-05,0.99889463,8.501439e-05,1.792493e-05,0.00014488756,0.00043867796
21,6.0,0.0020744985,3.9523868e-05,2.772986e-05,0.06389668,0.00020105347,0.00010888212,0.923343,0.0015968531,0.0037519403,0.00025445686,0.004705399
22,6.0,4.535947e-06,4.1614556e-09,4.3652046e-09,3.95037e-06,1.1439618e-07,2.8892345e-08,0.9998728,1.1105844e-06,2.5929799e-06,6.104109e-08,0.00011477949
23,6.0,3.1905278e-05,3.3577138e-07,2.1932857e-07,8.167408e-05,2.2069082e-06,4.589945e-07,0.99796706,5.915271e-06,1.1649065e-05,6.84679e-05,0.0018300364
24,4.0,6.15532e-07,2.4415434e-07,1.0724422e-07,9.026129e-07,0.9923765,0.0069788015,4.3248836e-08,1.8841216e-07,1.6193981e-07,1.3261491e-06,0.0006410414
25,4.0,5.083156e-05,0.000115872244,6.924995e-05,8.97221e-06,0.5158195,0.48322278,1.0152582e-07,2.857085e-06,3.1144016e-06,3.2296244e-05,0.0006744902
26,6.0,0.0006493946,5.5979335e-06,2.4804601e-06,0.00061440916,3.9824404e-06,1.3600067e-05,0.99816006,1.0917472e-05,3.1176899e-06,0.0005260768,1.0341177e-05
27,9.0,0.0007700449,0.0008512564,0.00051973894,0.004465025,0.00018040786,0.0007455787,0.020876216,4.184282e-05,1.1922145e-05,0.9712406,0.00029737904
28,10.0,0.00020052586,4.269008e-06,3.3991062e-06,6.328061e-07,0.008232964,0.00036865822,3.9221482e-05,1.6794812e-06,1.6507034e-06,0.0004001881,0.99074674
29,6.0,0.00048923644,7.7791776e-07,3.129705e-07,3.227861e-05,0.00015121432,5.280972e-05,0.99875975,3.516125e-05,1.5325622e-05,0.0001416481,0.0003214797
30,2.0,0.02959781,0.40155783,0.5396303,0.0003192138,0.00021577039,0.007322378,7.056507e-05,0.00010562656,6.158775e-05,0.02075405,0.00036489204
31,9.0,2.5757927e-05,2.0978634e-06,7.7587424e-07,3.9290585e-06,2.7563576e-05,3.79429e-06,0.00043400624,8.1917864e-07,1.8020333e-07,0.99931026,0.00019077469
32,9.0,1.269968e-05,2.3114992e-05,1.349747e-05,1.0102758e-05,0.0011058798,0.0013877642,6.3826888e-06,9.671035e-07,5.0326736e-07,0.99710375,0.00033547578
33,1.0,0.011407672,0.5779129,0.41026303,1.2843554e-05,2.2197915e-05,0.000118532975,9.1501414e-07,1.0300734e-05,1.0349791e-05,0.00015340843,8.779119e-05
34,3.0,4.770261e-05,0.00011826771,0.00010751221,0.9972609,0.00013449066,3.8301587e-05,3.1237454e-05,0.00012606593,7.2220435e-05,1.1501878e-05,0.0020517316
35,6.0,0.00097195635,6.981721e-05,4.9260092e-05,0.2041298,0.00018965636,0.000132441,0.76706123,0.0008757353,0.0063637295,0.009041113,0.011115302
36,6.0,4.7939593e-06,9.362259e-09,6.5965517e-09,2.4748385e-06,1.1138085e-07,1.7959183e-08,0.99970514,1.2652396e-06,2.711479e-06,1.5530473e-07,0.00028329797
37,6.0,1.9248024e-05,6.964026e-07,4.2836862e-07,0.000258939,1.9362917e-06,1.3266463e-06,0.9982046,6.4594046e-06,8.002166e-06,1.3889936e-06,0.0014969683
38,6.0,0.0004197875,2.7396707e-06,1.9663808e-06,9.688622e-05,0.00010084311,1.3988593e-05,0.94942,4.8232232e-05,9.3242925e-05,0.00037403943,0.049428284
39,5.0,2.487063e-06,6.989981e-05,2.1972413e-05,2.8220105e-05,0.00890199,0.99068755,4.8255134e-07,5.0387166e-06,3.8217445e-06,0.00013083412,0.00014766943
40,6.0,5.5043893e-06,1.708113e-08,9.893684e-09,3.6060213e-05,5.6197557e-08,1.4002485e-07,0.9999529,9.1530956e-07,2.682432e-07,4.0222117e-06,8.497863e-08
41,6.0,1.550668e-06,1.1074929e-08,8.308958e-09,0.00010640271,1.8441993e-07,2.1436708e-07,0.9998004,3.159139e-06,2.0464233e-06,6.141308e-07,8.549967e-05
42,0.0,0.999607,1.0765372e-05,7.31403e-06,6.6706285e-08,0.0001817596,0.000107800595,2.5727515e-05,2.8511447e-06,1.3248941e-06,7.6082747e-06,4.7897076e-05
43,6.0,1.6641625e-05,3.1067923e-08,1.6839866e-08,6.928745e-06,2.7278882e-06,6.5023175e-07,0.9998516,1.8929999e-06,8.816499e-07,1.5027774e-05,0.00010356278
44,5.0,7.521091e-06,7.476841e-05,3.9553146e-05,4.8636007e-06,0.085438594,0.9135901,2.8567442e-07,1.3692771e-06,1.4398977e-06,0.000736073,0.0001054827
45,5.0,0.00014910077,0.002925648,0.001549796,2.2730525e-05,0.10491611,0.84035975,2.0026205e-07,1.1286096e-05,2.6368149e-05,0.003922347,0.046116598
46,4.0,0.00050011894,0.0013357666,0.0008198501,0.025929363,0.72882974,0.22899847,1.0520454e-05,0.00013354674,0.00011387768,0.010393164,0.0029355653
47,4.0,0.000100631485,2.589036e-05,1.4335631e-05,4.9810547e-05,0.86628985,0.13206938,9.134633e-06,7.586662e-06,5.8556006e-06,0.0010879129,0.00033958303
48,4.0,0.006846878,0.00023596767,0.00016042519,1.2844264e-06,0.69777006,0.28983477,3.6983347e-06,1.5027433e-05,8.779193e-06,0.0007995023,0.004323559
49,9.0,0.010224577,0.013828101,0.010334363,9.551499e-05,0.0010243971,0.015642626,0.00021602905,5.9373557e-05,3.157094e-05,0.9444725,0.0040709167
50,5.0,7.90324e-05,0.00012849775,7.056321e-05,1.8126927e-06,0.029105067,0.9657182,1.2417971e-06,6.5040817e-06,5.862246e-06,0.00020377699,0.004679478
51,0.0,0.9953928,0.00010623644,8.329191e-05,8.244338e-07,0.0021680666,0.0011090543,2.6978487e-05,1.8814559e-05,9.2798455e-06,7.6078286e-05,0.0010086434
52,10.0,4.251212e-05,1.1446779e-06,6.299888e-07,0.00010656769,0.0005125945,3.0823052e-05,0.0033891862,6.147039e-06,3.74245e-06,5.85397e-05,0.99584806
53,4.0,0.0006355305,8.5592874e-05,4.011642e-05,3.449429e-06,0.35169554,0.55002236,4.9763974e-05,9.720626e-06,1.04380015e-05,0.0218908,0.07555667
54,6.0,8.940557e-06,2.4373745e-09,1.7796603e-09,1.4916312e-06,3.4577404e-08,2.1731168e-08,0.9999863,8.770285e-07,1.7788653e-06,2.7415354e-07,3.8082237e-07
55,1.0,4.9144634e-05,0.48442188,0.5150731,0.00011480998,4.48762e-06,0.0001588052,2.9200652e-07,9.793044e-06,4.6383284e-06,8.567437e-05,7.728373e-05
56,8.0,1.2846145e-05,1.9366784e-07,9.88195e-08,1.4126112e-05,2.5088752e-06,7.826352e-08,4.2221855e-06,0.013226577,0.9867012,1.4229667e-07,3.8010327e-05
57,10.0,1.5847249e-05,8.308604e-06,4.077944e-06,0.0003194914,0.00093675125,3.974533e-05,7.196088e-06,8.926795e-06,7.840775e-06,8.781658e-05,0.9985642
58,10.0,4.336545e-06,7.3026035e-07,6.2680164e-07,8.953308e-06,4.56777e-05,1.0398501e-06,1.7088665e-06,2.0836699e-06,2.5972204e-06,3.8918165e-06,0.9999285
59,0.0,0.99980277,6.166029e-05,3.7432612e-05,5.8486865e-08,4.1284948e-05,3.7945545e-05,2.572908e-06,1.8705636e-06,8.6944743e-07,2.773783e-06,1.08936565e-05
60,6.0,4.5751262e-06,2.1403304e-08,1.7313626e-08,4.078903e-06,1.0726784e-06,3.9833876e-07,0.99993217,3.521624e-06,3.7175264e-06,5.9235646e-07,4.980973e-05
61,6.0,6.386915e-08,1.7734172e-11,9.363664e-12,1.6070482e-08,5.5341076e-10,9.555949e-11,0.99999976,7.58018e-08,4.0167528e-08,1.4491268e-09,4.3371102e-08
